# 20221025_CFU60_RPMI_RPMIserum.csv
# (previously 221025_Cfu60_RRS.csv)
# colony forming units assay
Strain,BioRep,Media,Time,Cells
WT,1,RPMI,0,1070000
WT,2,RPMI,0,1095000
WT,3,RPMI,0,1145000
Gat201 del,1,RPMI,0,1185000
Gat201 del,2,RPMI,0,1145000
Gat201 del,3,RPMI,0,890000
C26,1,RPMI,0,1095000
C26,2,RPMI,0,1070000
C26,3,RPMI,0,945000
C30,1,RPMI,0,815000
C30,2,RPMI,0,630000
C30,3,RPMI,0,1125000
WT,1,RPMI,4,760000
WT,2,RPMI,4,475000
WT,3,RPMI,4,740000
Gat201 del,1,RPMI,4,475000
Gat201 del,2,RPMI,4,185000
Gat201 del,3,RPMI,4,685000
C26,1,RPMI,4,250000
C26,2,RPMI,4,275000
C26,3,RPMI,4,1175000
C30,1,RPMI,4,300000
C30,2,RPMI,4,435000
C30,3,RPMI,4,330000
WT,3,RPMI,12,225000
Gat201 del,1,RPMI,12,600000
Gat201 del,2,RPMI,12,250000
Gat201 del,3,RPMI,12,840000
C26,1,RPMI,12,370000
C26,2,RPMI,12,170000
C26,3,RPMI,12,580000
C30,1,RPMI,12,365000
C30,2,RPMI,12,700000
C30,3,RPMI,12,355000
WT,1,RPMI,24,80000
WT,2,RPMI,24,20000
WT,3,RPMI,24,20000
Gat201 del,1,RPMI,24,585000
Gat201 del,2,RPMI,24,400000
Gat201 del,3,RPMI,24,490000
C26,1,RPMI,24,115000
C26,2,RPMI,24,95000
C26,3,RPMI,24,175000
C30,1,RPMI,24,130000
C30,2,RPMI,24,425000
C30,3,RPMI,24,200000
WT,1,RPMI,36,0
WT,2,RPMI,36,0
WT,3,RPMI,36,10000
Gat201 del,1,RPMI,36,285000
Gat201 del,2,RPMI,36,260000
Gat201 del,3,RPMI,36,590000
C26,1,RPMI,36,210000
C26,2,RPMI,36,220000
C26,3,RPMI,36,130000
C30,1,RPMI,36,125000
C30,2,RPMI,36,120000
C30,3,RPMI,36,85000
WT,1,RPMI,48,0
WT,2,RPMI,48,0
WT,3,RPMI,48,0
Gat201 del,1,RPMI,48,425000
Gat201 del,2,RPMI,48,305000
Gat201 del,3,RPMI,48,400000
C26,1,RPMI,48,130000
C26,2,RPMI,48,90000
C26,3,RPMI,48,130000
C30,1,RPMI,48,50000
C30,2,RPMI,48,90000
C30,3,RPMI,48,0
WT,1,RPMI,60,0
WT,2,RPMI,60,0
WT,3,RPMI,60,0
Gat201 del,1,RPMI,60,215000
Gat201 del,2,RPMI,60,335000
Gat201 del,3,RPMI,60,255000
C26,1,RPMI,60,60000
C26,2,RPMI,60,65000
C26,3,RPMI,60,20000
C30,1,RPMI,60,130000
C30,2,RPMI,60,70000
C30,3,RPMI,60,40000
WT,1,RPMI+Serum,0,1070000
WT,2,RPMI+Serum,0,1095000
WT,3,RPMI+Serum,0,1145000
Gat201 del,1,RPMI+Serum,0,1185000
Gat201 del,2,RPMI+Serum,0,1145000
Gat201 del,3,RPMI+Serum,0,890000
C26,1,RPMI+Serum,0,1095000
C26,2,RPMI+Serum,0,1070000
C26,3,RPMI+Serum,0,945000
C30,1,RPMI+Serum,0,815000
C30,2,RPMI+Serum,0,630000
C30,3,RPMI+Serum,0,1125000
WT,1,RPMI+Serum,4,1305000
WT,2,RPMI+Serum,4,1425000
WT,3,RPMI+Serum,4,1095000
Gat201 del,1,RPMI+Serum,4,1480000
Gat201 del,2,RPMI+Serum,4,800000
Gat201 del,3,RPMI+Serum,4,905000
C26,1,RPMI+Serum,4,955000
C26,2,RPMI+Serum,4,855000
C26,3,RPMI+Serum,4,700000
C30,1,RPMI+Serum,4,940000
C30,2,RPMI+Serum,4,755000
C30,3,RPMI+Serum,4,1120000
WT,1,RPMI+Serum,12,340000
WT,2,RPMI+Serum,12,340000
WT,3,RPMI+Serum,12,420000
Gat201 del,1,RPMI+Serum,12,880000
Gat201 del,2,RPMI+Serum,12,1505000
Gat201 del,3,RPMI+Serum,12,970000
C26,1,RPMI+Serum,12,985000
C26,2,RPMI+Serum,12,865000
C26,3,RPMI+Serum,12,930000
C30,1,RPMI+Serum,12,500000
C30,2,RPMI+Serum,12,635000
C30,3,RPMI+Serum,12,705000
WT,1,RPMI+Serum,24,150000
WT,2,RPMI+Serum,24,110000
WT,3,RPMI+Serum,24,210000
Gat201 del,1,RPMI+Serum,24,1085000
Gat201 del,2,RPMI+Serum,24,1215000
Gat201 del,3,RPMI+Serum,24,975000
C26,1,RPMI+Serum,24,445000
C26,2,RPMI+Serum,24,475000
C26,3,RPMI+Serum,24,540000
C30,1,RPMI+Serum,24,430000
C30,2,RPMI+Serum,24,510000
C30,3,RPMI+Serum,24,445000
WT,1,RPMI+Serum,36,105000
WT,2,RPMI+Serum,36,110000
WT,3,RPMI+Serum,36,115000
Gat201 del,1,RPMI+Serum,36,855000
Gat201 del,2,RPMI+Serum,36,1075000
Gat201 del,3,RPMI+Serum,36,585000
C26,1,RPMI+Serum,36,365000
C26,2,RPMI+Serum,36,235000
C26,3,RPMI+Serum,36,290000
C30,1,RPMI+Serum,36,365000
C30,2,RPMI+Serum,36,300000
C30,3,RPMI+Serum,36,365000
WT,1,RPMI+Serum,48,80000
WT,2,RPMI+Serum,48,40000
WT,3,RPMI+Serum,48,75000
Gat201 del,1,RPMI+Serum,48,695000
Gat201 del,2,RPMI+Serum,48,780000
Gat201 del,3,RPMI+Serum,48,585000
C26,1,RPMI+Serum,48,155000
C26,2,RPMI+Serum,48,120000
C26,3,RPMI+Serum,48,320000
C30,1,RPMI+Serum,48,210000
C30,2,RPMI+Serum,48,185000
C30,3,RPMI+Serum,48,150000
WT,1,RPMI+Serum,60,30000
