Well,Strain,Biorep,Techrep,Media
A1,,,,R
A2,,,,R
A3,,,,R
A4,,,,R
A5,,,,R
A6,,,,R
A7,,,,CO2
A8,,,,CO2
A9,,,,CO2
A10,,,,CO2
A11,,,,CO2
A12,,,,CO2
B1,,,,R
B2,KN99,1,1,R
B3,KN99,2,1,R
B4,KN99,3,1,R
B5,KN99,4,1,R
B6,KN99,5,1,R
B7,KN99,1,1,CO2
B8,KN99,2,1,CO2
B9,KN99,3,1,CO2
B10,KN99,4,1,CO2
B11,KN99,5,1,CO2
B12,,,,CO2
C1,,,,R
C2,KN99,1,2,R
C3,KN99,2,2,R
C4,KN99,3,2,R
C5,KN99,4,2,R
C6,KN99,5,2,R
C7,KN99,1,2,CO2
C8,KN99,2,2,CO2
C9,KN99,3,2,CO2
C10,KN99,4,2,CO2
C11,KN99,5,2,CO2
C12,,,,CO2
D1,,,,R
D2,KN99,1,3,R
D3,KN99,2,3,R
D4,KN99,3,3,R
D5,KN99,4,3,R
D6,KN99,5,3,R
D7,KN99,1,3,CO2
D8,KN99,2,3,CO2
D9,KN99,3,3,CO2
D10,KN99,4,3,CO2
D11,KN99,5,3,CO2
D12,,,,CO2
E1,,,,R
E2,GAT201,1,1,R
E3,GAT201,2,1,R
E4,GAT201,3,1,R
E5,GAT201,4,1,R
E6,GAT201,5,1,R
E7,GAT201,1,1,CO2
E8,GAT201,2,1,CO2
E9,GAT201,3,1,CO2
E10,GAT201,4,1,CO2
E11,GAT201,5,1,CO2
E12,,,,CO2
F1,,,,R
F2,GAT201,1,2,R
F3,GAT201,2,2,R
F4,GAT201,3,2,R
F5,GAT201,4,2,R
F6,GAT201,5,2,R
F7,GAT201,1,2,CO2
F8,GAT201,2,2,CO2
F9,GAT201,3,2,CO2
F10,GAT201,4,2,CO2
F11,GAT201,5,2,CO2
F12,,,,CO2
G1,,,,R
G2,KN99,1,3,R
G3,KN99,2,3,R
G4,KN99,3,3,R
G5,KN99,4,3,R
G6,KN99,5,3,R
G7,GAT201,1,3,CO2
G8,GAT201,2,3,CO2
G9,GAT201,3,3,CO2
G10,GAT201,4,3,CO2
G11,GAT201,5,3,CO2
G12,,,,CO2
H1,,,,R
H2,,,,R
H3,,,,R
H4,,,,R
H5,,,,R
H6,,,,R
H7,,,,CO2
H8,,,,CO2
H9,,,,CO2
H10,,,,CO2
H11,,,,CO2
H12,,,,CO2
