Well,Strain,Biorep,Techrep,Medium
A1,,,,RPMI-N
A2,,,,RPMI-N
A3,,,,RPMI-N
A4,,,,RPMI-N
A5,,,,RPMI-N
A6,,,,RPMI-N
A7,,,,RPMI-N
A8,,,,RPMI-N
A9,,,,RPMI-N
A10,,,,RPMI-N
A11,,,,RPMI-N
A12,,,,RPMI-N
B1,,,,RPMI-N
B2,KN99-1,1,1,RPMI-N
B3,KN99-1,1,1,RPMI-6mM
B4,Gat201(M),1,1,RPMI-N
B5,Gat201(M),1,1,RPMI-6mM
B6,KN99-2,1,1,RPMI-N
B7,KN99-2,1,1,RPMI-6mM
B8,C1,1,1,RPMI-N
B9,C1,1,1,RPMI-6mM
B10,C2,1,1,RPMI-N
B11,C2,1,1,RPMI-6mM
B12,,,,RPMI-N
C1,,,,RPMI-N
C2,KN99-1,1,2,RPMI-N
C3,KN99-1,1,2,RPMI-6mM
C4,Gat201(M),1,2,RPMI-N
C5,Gat201(M),1,2,RPMI-6mM
C6,KN99-2,1,2,RPMI-N
C7,KN99-2,1,2,RPMI-6mM
C8,C1,1,2,RPMI-N
C9,C1,1,2,RPMI-6mM
C10,C2,1,2,RPMI-N
C11,C2,1,2,RPMI-6mM
C12,,,,RPMI-N
D1,,,,RPMI-N
D2,KN99-1,1,3,RPMI-N
D3,KN99-1,1,3,RPMI-6mM
D4,Gat201(M),1,3,RPMI-N
D5,Gat201(M),1,3,RPMI-6mM
D6,KN99-2,1,3,RPMI-N
D7,KN99-2,1,3,RPMI-6mM
D8,C1,1,3,RPMI-N
D9,C1,1,3,RPMI-6mM
D10,C2,1,3,RPMI-N
D11,C2,1,3,RPMI-6mM
D12,,,,RPMI-N
E1,,,,RPMI-N
E2,KN99-1,1,1,RPMI-1.5mM
E3,KN99-1,1,1,RPMI-24mM
E4,Gat201(M),1,1,RPMI-1.5mM
E5,Gat201(M),1,1,RPMI-24mM
E6,KN99-2,1,1,RPMI-1.5mM
E7,KN99-2,1,1,RPMI-24mM
E8,C1,1,1,RPMI-1.5mM
E9,C1,1,1,RPMI-24mM
E10,C2,1,1,RPMI-1.5mM
E11,C2,1,2,RPMI-24mM
E12,,,,RPMI-N
F1,,,,RPMI-N
F2,KN99-1,1,2,RPMI-1.5mM
F3,KN99-1,1,2,RPMI-24mM
F4,Gat201(M),1,2,RPMI-1.5mM
F5,Gat201(M),1,2,RPMI-24mM
F6,KN99-2,1,2,RPMI-1.5mM
F7,KN99-2,1,2,RPMI-24mM
F8,C1,1,2,RPMI-1.5mM
F9,C1,1,2,RPMI-24mM
F10,C2,1,2,RPMI-1.5mM
F11,C2,1,1,RPMI-24mM
F12,,,,RPMI-N
G1,,,,RPMI-N
G2,KN99-1,1,3,RPMI-1.5mM
G3,KN99-1,1,3,RPMI-24mM
G4,Gat201(M),1,3,RPMI-1.5mM
G5,Gat201(M),1,3,RPMI-24mM
G6,KN99-2,1,3,RPMI-1.5mM
G7,KN99-2,1,3,RPMI-24mM
G8,C1,1,3,RPMI-1.5mM
G9,C1,1,3,RPMI-24mM
G10,C2,1,3,RPMI-1.5mM
G11,C2,1,2,RPMI-24mM
G12,,,,RPMI-N
H1,,,,RPMI-N
H2,,,,RPMI-N
H3,,,,RPMI-N
H4,,,,RPMI-N
H5,,,,RPMI-N
H6,,,,RPMI-N
H7,,,,RPMI-N
H8,,,,RPMI-N
H9,,,,RPMI-N
H10,,,,RPMI-N
H11,,,,RPMI-N
H12,,,,RPMI-N
