Well,Strain,Biorep,Techrep,Medium
A1,,,,RPMI-N
A2,,,,RPMI-N
A3,,,,RPMI-N
A4,,,,RPMI-N
A5,,,,RPMI-N
A6,,,,RPMI-N
A7,,,,RPMI-N
A8,,,,RPMI-N
A9,,,,RPMI-N
A10,,,,RPMI-N
A11,,,,RPMI-N
A12,,,,RPMI-N
B1,,,,RPMI-24
B2,KN99-1,1,1,RPMI-N+C
B3,Gat201(M),1,1,RPMI-24+C
B4,Gat201(M),1,1,RPMI-N+C
B5,KN99-1,1,4,RPMI-N+C
B6,KN99-1,1,1,RPMI-24+W
B7,KN99-1,1,4,RPMI-24+W
B8,Gat201(M),1,1,RPMI-N+W
B9,Gat201(M),1,1,RPMI-24+W
B10,KN99-1,1,1,RPMI-N+SB
B11,Gat201(M),1,1,RPMI-N+SB
B12,,,,RPMI-24
C1,,,,RPMI-24
C2,KN99-1,1,2,RPMI-N+C
C3,Gat201(M),1,2,RPMI-24+C
C4,Gat201(M),1,2,RPMI-N+C
C5,KN99-1,1,5,RPMI-N+C
C6,KN99-1,1,2,RPMI-24+W
C7,KN99-1,1,5,RPMI-24+W
C8,Gat201(M),1,2,RPMI-N+W
C9,Gat201(M),1,2,RPMI-24+W
C10,KN99-1,1,2,RPMI-N+SB
C11,Gat201(M),1,2,RPMI-N+SB
C12,,,,RPMI-24
D1,,,,RPMI-24
D2,KN99-1,1,3,RPMI-N+C
D3,Gat201(M),1,3,RPMI-24+C
D4,Gat201(M),1,3,RPMI-N+C
D5,KN99-1,1,6,RPMI-N+C
D6,KN99-1,1,3,RPMI-24+W
D7,KN99-1,1,6,RPMI-24+W
D8,Gat201(M),1,3,RPMI-N+W
D9,Gat201(M),1,3,RPMI-24+W
D10,KN99-1,1,3,RPMI-N+SB
D11,Gat201(M),1,3,RPMI-N+SB
D12,,,,RPMI-24
E1,,,,RPMI-24
E2,KN99-2,2,1,RPMI-N+C
E3,KN99-2,2,1,RPMI-24+C
E4,Gat201(M)-2,2,1,RPMI-N+C
E5,Gat201(M)-2,2,1,RPMI-24+C
E6,KN99-2,2,1,RPMI-N+W
E7,KN99-2,2,1,RPMI-24+W
E8,Gat201(M)-2,2,1,RPMI-N+W
E9,Gat201(M)-2,2,1,RPMI-24+W
E10,KN99-2,2,1,RPMI-24+SB
E11,Gat201(M)-2,2,2,RPMI-24+SB
E12,,,,RPMI-24
F1,,,,RPMI-24
F2,KN99-2,2,2,RPMI-N+C
F3,KN99-2,2,2,RPMI-24+C
F4,Gat201(M)-2,2,2,RPMI-N+C
F5,Gat201(M)-2,2,2,RPMI-24+C
F6,KN99-2,2,2,RPMI-N+W
F7,KN99-2,2,2,RPMI-24+W
F8,Gat201(M)-2,2,2,RPMI-N+W
F9,Gat201(M)-2,2,2,RPMI-24+W
F10,KN99-2,2,2,RPMI-24+SB
F11,Gat201(M)-2,2,1,RPMI-24+SB
F12,,,,RPMI-24
G1,,,,RPMI-24
G2,KN99-2,2,3,RPMI-N+C
G3,KN99-2,2,3,RPMI-24+C
G4,Gat201(M)-2,2,3,RPMI-N+C
G5,Gat201(M)-2,2,3,RPMI-24+C
G6,KN99-2,2,3,RPMI-N+W
G7,KN99-2,2,3,RPMI-24+W
G8,Gat201(M)-2,2,3,RPMI-N+W
G9,Gat201(M)-2,2,3,RPMI-24+W
G10,KN99-2,2,3,RPMI-24+SB
G11,Gat201(M)-2,2,2,RPMI-24+SB
G12,,,,RPMI-24
H1,,,,RPMI-N
H2,,,,RPMI-N
H3,,,,RPMI-N
H4,,,,RPMI-N
H5,,,,RPMI-N
H6,,,,RPMI-N
H7,,,,RPMI-N
H8,,,,RPMI-N
H9,,,,RPMI-N
H10,,,,RPMI-N
H11,,,,RPMI-N
H12,,,,RPMI-N
