Well,Strain,Biorep,Techrep,Medium
A1,,,,RPMI
A2,,,,RPMI
A3,,,,RPMI
A4,,,,RPMI
A5,,,,RPMI
A6,,,,RPMI
A7,,,,RPMI
A8,,,,RPMI
A9,,,,RPMI
A10,,,,RPMI
A11,,,,RPMI
A12,,,,RPMI
B1,,,,RPMI
B2,KN99-1,1,1,RPMI
B3,KN99-1,1,1,RPMI
B4,KN99-1,1,1,RPMI
B5,Gat201(M),1,1,RPMI
B6,Gat201(M),1,1,RPMI
B7,Gat201(M),1,1,RPMI
B8,Gat204,1,1,RPMI
B9,Gat204,1,1,RPMI
B10,Gat204,1,1,RPMI
B11,,,,RPMI
B12,,,,RPMI
C1,,,,RPMI
C2,KN99-1,1,2,RPMI
C3,KN99-1,1,2,RPMI
C4,KN99-1,1,2,RPMI
C5,Gat201(M),1,2,RPMI
C6,Gat201(M),1,2,RPMI
C7,Gat201(M),1,2,RPMI
C8,Gat204,1,2,RPMI
C9,Gat204,1,2,RPMI
C10,Gat204,1,2,RPMI
C11,,,,RPMI
C12,,,,RPMI
D1,,,,RPMI
D2,KN99-1,1,3,RPMI
D3,KN99-1,1,3,RPMI
D4,KN99-1,1,3,RPMI
D5,Gat201(M),1,3,RPMI
D6,Gat201(M),1,3,RPMI
D7,Gat201(M),1,3,RPMI
D8,Gat204,1,3,RPMI
D9,Gat204,1,3,RPMI
D10,Gat204,1,3,RPMI
D11,,,,RPMI
D12,,,,RPMI
E1,,,,RPMI
E2,Liv3,1,1,RPMI
E3,Liv3,1,1,RPMI
E4,Liv3,1,1,RPMI
E5,Gat201-Liv3,1,1,RPMI
E6,Gat201-Liv3,1,1,RPMI
E7,Gat201-Liv3,1,1,RPMI
E8,,,,RPMI
E9,,,,RPMI
E10,,,,RPMI
E11,,,,RPMI
E12,,,,RPMI
F1,,,,RPMI
F2,Liv3,1,2,RPMI
F3,Liv3,1,2,RPMI
F4,Liv3,1,2,RPMI
F5,Gat201-Liv3,1,2,RPMI
F6,Gat201-Liv3,1,2,RPMI
F7,Gat201-Liv3,1,2,RPMI
F8,,,,RPMI
F9,,,,RPMI
F10,,,,RPMI
F11,,,,RPMI
F12,,,,RPMI
G1,,,,RPMI
G2,Liv3,1,3,RPMI
G3,Liv3,1,3,RPMI
G4,Liv3,1,3,RPMI
G5,Gat201-Liv3,1,3,RPMI
G6,Gat201-Liv3,1,3,RPMI
G7,Gat201-Liv3,1,3,RPMI
G8,,,,RPMI
G9,,,,RPMI
G10,,,,RPMI
G11,,,,RPMI
G12,,,,RPMI
H1,,,,RPMI
H2,,,,RPMI
H3,,,,RPMI
H4,,,,RPMI
H5,,,,RPMI
H6,,,,RPMI
H7,,,,RPMI
H8,,,,RPMI
H9,,,,RPMI
H10,,,,RPMI
H11,,,,RPMI
H12,,,,RPMI
